ID,Name,Value1,Value2
1,Data1,0.08339862937267484,0.26722901778912067
2,Data2,0.9581754152634151,0.6297294161313138
3,Data3,0.1444947615514407,0.34587456146059503
4,Data4,0.8357456108606117,0.8346582741844149
5,Data5,0.5839080706734604,0.7234908217134832
6,Data6,0.40926707734756385,0.1469729661755904
7,Data7,0.8045998938698319,0.9127482983781947
8,Data8,0.34715214422368046,0.017029913053490775
9,Data9,0.535895015104366,0.6284173245752288
10,Data10,0.4666165594117009,0.4934325171558397
11,Data11,0.7318179747801938,0.5408461263259086
12,Data12,0.9402627923248956,0.45500245352172464
13,Data13,0.9620906521972422,0.9722728806488251
14,Data14,0.15500800949086124,0.3413862643918969
15,Data15,0.6661833546582777,0.6302402851982416
16,Data16,0.44970567559009855,0.602054325805247
17,Data17,0.9230374832787892,0.6061709165921965
18,Data18,0.505661179274247,0.10786329029836594
19,Data19,0.45255498054287335,0.032199830298879406
20,Data20,0.993343369216739,0.32501729242847244
21,Data21,0.40967599299165947,0.9856508695671222
22,Data22,0.1889458138490958,0.13817716163895788
23,Data23,0.15784288994064588,0.45808133871486845
24,Data24,0.666052686649239,0.8276308880922693
25,Data25,0.6158752356407203,0.46460929068027623
26,Data26,0.8405161711099026,0.8548527954195937
27,Data27,0.9607569350571181,0.6592767727449973
28,Data28,0.10075329807919509,0.791442991857599
29,Data29,0.4385634879353262,0.14349096775819048
30,Data30,0.49102251251387197,0.9383523850349406
31,Data31,0.7867334364018775,0.5071247213367573
32,Data32,0.431840917377429,0.9254629584212917
33,Data33,0.30311521283069975,0.5256467894620644
34,Data34,0.7595553079028329,0.8560070760780132
35,Data35,0.9106965264238118,0.35169121440922657
36,Data36,0.4461815992528906,0.3659732621487549
37,Data37,0.6616507021061073,0.48576424200860724
38,Data38,0.7209785564882367,0.3055604143955116
39,Data39,3.1014289477293566E-4,0.2883265023796088
40,Data40,0.9568233941354826,0.6179062520036384
41,Data41,0.761904500821898,0.3042769401278683
42,Data42,0.6073087639315943,0.3897298013131083
43,Data43,0.32237694840973596,0.2109039883201912
44,Data44,0.6845814182900746,0.9791920082921519
45,Data45,0.534318944040188,0.7716593591957249
46,Data46,0.7532953145153,0.5881923585929649
47,Data47,0.08504053060262251,0.7806473101826819
48,Data48,0.18265271331864563,0.6394836683940626
49,Data49,0.6950191101169368,0.6165131925237248
50,Data50,0.4463588751937476,0.8434012517831811
51,Data51,0.1384471370941155,0.6894523938160397
52,Data52,0.5894173027351084,0.8946664284649049
53,Data53,0.412325170772907,0.7613513144794366
54,Data54,0.5910440399062613,0.3266389564778388
55,Data55,0.5065229644945053,0.846610034630504
56,Data56,0.24458133548201821,0.16855649142388174
57,Data57,0.13445891163783208,0.15998584047523234
58,Data58,0.34814215803775206,0.7007134937956017
59,Data59,0.4725235013470568,0.36783597019496606
60,Data60,0.45381886563475105,0.7831962203660567
61,Data61,0.4260999787921931,0.22042649546665416
62,Data62,0.1586410247952016,0.9457039929356681
63,Data63,0.1910112051052557,0.4955139941698117
64,Data64,0.9370683891303505,0.6691517155592474
65,Data65,0.9114488559689234,0.06719520830358094
66,Data66,0.8126574444411073,0.06416186788935274
67,Data67,0.048917454235880786,0.8290589323013446
68,Data68,0.7456404856009531,0.4572191114171261
69,Data69,0.671452045983056,0.14696394078747255
70,Data70,0.47350887476541415,0.23217380970390467
71,Data71,0.2483453759162253,0.4943053512548836
72,Data72,0.6832925743902827,0.6429457743560341
73,Data73,0.6928464834033772,0.931420990775074
74,Data74,0.8170805437166776,0.21269271001348522
75,Data75,0.33376961707728314,0.13082851553884267
76,Data76,0.5164274532080894,0.7653726904764342
77,Data77,0.21667870418816315,0.7212729644463699
78,Data78,0.6966442242222401,0.09754317171932658
79,Data79,0.636289189874648,0.8261036346602363
80,Data80,0.5085713379283796,0.7914043506363797
81,Data81,0.08395562793570965,0.805288007254461
82,Data82,0.9932849016559753,0.6945072531474188
83,Data83,0.8575900479348066,0.3754097891040531
84,Data84,0.06428822844850601,0.14721231009921343
85,Data85,0.42608273924205287,0.4782869000792863
86,Data86,0.5620916168409271,0.12589734743490566
87,Data87,0.26627317428128616,0.49638468903564636
88,Data88,0.5176862967632213,0.08807857386068374
89,Data89,0.29774630774975364,0.6719881241929223
90,Data90,0.4342686519901754,0.45502183602295654
91,Data91,0.22920478513427278,0.8771366021645209
92,Data92,0.3506730402143792,0.34808543932310776
93,Data93,0.09989553023769149,0.2026131662822569
94,Data94,0.6853235138366072,0.4069503807543906
95,Data95,0.05054455714803263,0.18681968662505222
96,Data96,0.3761150227302559,0.26105741843054586
97,Data97,0.8904810927747093,0.8891583683024467
98,Data98,0.6294877397938947,0.49998442639859697
99,Data99,0.3411085791372991,0.4275788641468402
100,Data100,0.6710587309483379,0.7941621764064216
101,Data101,0.9306063864643427,0.046239526351727456
102,Data102,0.25052683983832746,0.15423980045376684
103,Data103,0.39072292840637635,0.25677059603010455
104,Data104,0.2951688374221282,0.18557625076858364
105,Data105,0.06374746502154216,0.10541544648344081
106,Data106,0.02909566072412062,0.5937472577204653
107,Data107,0.2662240437409026,0.1583659430679829
